Export;EXP-2024-001 (2024-08-26T08:19:22+01:00);;;StationsCode;NL10107;NL10131;NL10133;NL10136;NL10138;NL10230;NL10235;NL10236;NL10237;NL10240;NL10241;NL10246;NL10247;NL10248;NL10301;NL10318;NL10404;NL10418;NL10437;NL10442;NL10444;NL10445;NL10446;NL10449;NL10450;NL10538;NL10550;NL10617;NL10633;NL10636;NL10639;NL10641;NL10643;NL10644;NL10722;NL10738;NL10741;NL10742;NL10807;NL10818;NL10918;NL10929;NL10934;NL10937;NL10938
NOx;uur;µg NO2/m³;2024-06-15T16:00:00+01:00;2024-06-15T17:00:00+01:00;2.89;2.83;2.49;9.41;3.3;5.22;1.88;8.4;10.98;13.01;4.04;3.02;2.12;2.25;3.55;2.65;7.21;13.69;3.32;6.11;3.75;10.89;6.66;13.46;27.27;6.48;11.11;2.63;4.38;17.96;17.86;19.08;3.99;2.57;2.51;2.83;10.83;3.15;;1.39;2.06;1.95;2.21;25.69;2.27
NOx;uur;µg NO2/m³;2024-06-15T17:00:00+01:00;2024-06-15T18:00:00+01:00;3.63;2.57;2.46;8.9;3.12;6.48;3.85;7.17;11.51;11.36;4.15;2.92;2.7;2.91;3.75;2.72;7.18;14.42;2.78;5.23;3.02;10.71;6.29;18.09;27.73;8.85;11.76;2.29;3.3;16.56;18.11;19.24;5.34;3.99;1.92;2.34;7;4.09;;1.18;1.92;1.56;2.72;27.43;1.94
NOx;uur;µg NO2/m³;2024-06-15T18:00:00+01:00;2024-06-15T19:00:00+01:00;3.05;2.25;3.9;7.36;2.89;4.74;5.97;7.18;10.28;12.87;5.86;4.5;3.38;3.46;2.72;3.02;7.2;9.99;3.67;7.96;3.11;10.32;5.72;11.17;23.41;5.04;7.36;2.91;3.1;14.68;14.87;19.2;5.05;4.45;2.19;2.7;7.43;4.13;;1.21;2.41;1.73;2.36;19.2;1.48
NOx;uur;µg NO2/m³;2024-06-15T19:00:00+01:00;2024-06-15T20:00:00+01:00;2.86;2.55;2.95;4.66;3.92;10.05;10.79;9.36;11.8;17.29;6.95;6.98;3.55;6.02;3.43;4.07;7.46;11.51;5.35;4.13;3.86;10.84;7.96;13.39;21.24;7.34;8.13;3.9;3.32;14.82;15.75;20.51;5.86;4.5;2.33;3.21;11.01;5.33;;1.27;1.8;1.83;2.68;23.02;1.65
NOx;uur;µg NO2/m³;2024-06-15T20:00:00+01:00;2024-06-15T21:00:00+01:00;2.55;3.05;2.41;4.41;3.94;9.33;9.09;8.02;11.27;13.15;6.2;8.42;3.54;4.2;4.09;3.46;8.37;9.85;4.97;8.39;4.69;11.74;10.31;13.31;21.05;6.65;9.07;3.38;4.67;16.11;21.12;23;6.56;5.16;5.75;4.17;8.45;5.21;;1.97;1.15;1.89;2.76;13.76;1.42
NOx;uur;µg NO2/m³;2024-06-15T21:00:00+01:00;2024-06-15T22:00:00+01:00;3.06;3.33;2.36;3.55;3.86;11.41;8.43;6.38;10.12;8.72;5.1;8;3.82;4.71;4.51;2.94;9.79;8.86;4.62;7.28;4.98;12.91;10.31;15.96;20.3;10.53;10.93;3.49;8.38;19.59;16.79;23.31;7.26;5.48;3.47;4.32;10.88;6.01;;1.83;2.44;2.31;2.73;12.77;1.68
NOx;uur;µg NO2/m³;2024-06-15T22:00:00+01:00;2024-06-15T23:00:00+01:00;3.15;3.4;2.8;3.65;4.23;10.58;8.99;6.76;17.73;8.14;4.29;6.15;4.07;3.3;4.21;2.8;9.93;9.32;4.31;6.15;4.82;12.51;9.44;12.69;21.02;10.35;12.22;3.72;6.97;16.66;16.06;23.89;6.66;4.68;2.58;4.05;9.14;4.51;;3.64;3.56;2.53;2.64;16.02;1.99
NOx;uur;µg NO2/m³;2024-06-15T23:00:00+01:00;2024-06-16T00:00:00+01:00;3.82;3.9;2.37;3.14;2.1;7.67;10.82;5.17;9.49;9.61;4.91;7.16;3.2;3.22;3.05;2.64;10.43;7.48;3.56;5.89;4.43;11.9;7.56;10.82;23.49;9.89;8.87;3.92;5.24;15.23;11.53;23.4;5.43;5.32;2.75;3.68;8.99;4.64;;2.09;3.08;3.35;2.75;15.77;1.99
NOx;uur;µg NO2/m³;2024-06-16T00:00:00+01:00;2024-06-16T01:00:00+01:00;3.28;4.23;3.79;3.44;2.47;8.62;13.29;10.38;5.77;8.35;5.95;7.86;4.11;6.72;3.65;3.52;9.95;8.59;;7.64;4.76;10.24;6.73;12.98;15.96;6.52;8.41;3.36;4.95;9.49;9.08;20.74;5.46;5.13;4.17;2.99;7.72;4.55;;3.6;4.22;2.55;3.63;10.67;3.27
NOx;uur;µg NO2/m³;2024-06-16T01:00:00+01:00;2024-06-16T02:00:00+01:00;3.41;3.39;4.58;3.07;3.83;6.14;11.96;3.63;4.59;8.22;5.33;6.47;3.51;5.31;3.87;3.26;7.91;8.45;5.03;7.45;5.24;7.97;6.03;8.96;11.71;9.22;9.53;3.04;5.24;10.47;9.83;14.6;5.47;4.85;3.41;2.58;7.35;5.3;;2.94;4.4;2.05;3.8;10.3;3.55
NOx;uur;µg NO2/m³;2024-06-16T02:00:00+01:00;2024-06-16T03:00:00+01:00;3.8;3.84;1.94;2.27;3.3;7.63;12.26;3.18;3.46;6.64;4.53;7.35;3.37;4.64;4.96;3.03;7.87;8.89;6.64;7.54;4.22;6.41;6.15;10.71;9.34;9.58;6.88;3.34;4.66;8.62;7.99;12.42;5.31;6.26;3.06;2.79;5.74;3.71;;2.57;4.92;2.49;3.39;10.6;2.73
NOx;uur;µg NO2/m³;2024-06-16T03:00:00+01:00;2024-06-16T04:00:00+01:00;4.74;2.39;2.34;2.05;2.64;9.23;12.25;5.07;3.23;5.02;4.24;8.31;3.46;4.7;4.27;2.81;8.63;7.55;5.4;6.94;4.82;7.75;6.68;10.78;10;12.31;5.4;3.34;5.05;7.42;7.61;11.92;4.69;5.95;4.35;2.68;4.92;3.34;;2.98;4.37;2.01;3.19;6.17;2.68
NOx;uur;µg NO2/m³;2024-06-16T04:00:00+01:00;2024-06-16T05:00:00+01:00;4.66;3.24;1.79;2.01;2.79;8.73;11.68;3.6;3.94;6.23;3.86;6.72;3.08;5.78;5.21;2.59;9.06;8.08;5.73;7.24;5.23;8.62;11.39;15.96;10.75;8.74;6.2;3.43;5.22;7.22;7;12.51;4.3;5.79;3.17;2.95;6.23;4.51;;3.2;4.1;3.95;3.01;9.48;3.16
NOx;uur;µg NO2/m³;2024-06-16T05:00:00+01:00;2024-06-16T06:00:00+01:00;4.41;3.78;2.72;3.66;2.51;5.3;9.2;4.27;3.74;7.53;3.49;8.04;3.32;4.58;4.49;3.03;9.45;7.54;5.98;4.39;7.58;10.94;10.56;12.83;13.5;6.92;7.56;3.2;7.28;9.43;9.38;10;4.38;4.82;2.21;2.59;5.72;4.16;;3.09;4.85;3.76;2.76;4.94;3.39
NOx;uur;µg NO2/m³;2024-06-16T06:00:00+01:00;2024-06-16T07:00:00+01:00;3.74;3.76;1.2;3.22;2.53;4.88;7.72;5.02;4.52;7.28;4.44;6.91;3.94;6.09;4.5;3.82;9.79;6.58;5.72;4.21;7.21;8.11;9.24;13.3;16.14;11.33;7.26;2.93;5.29;8.64;14.56;9.56;4.65;4.18;2.63;2.99;5.4;4.45;;2.51;4.55;3.45;3.09;8;2.72
NOx;uur;µg NO2/m³;2024-06-16T07:00:00+01:00;2024-06-16T08:00:00+01:00;2.38;2.54;1.17;3.81;2.11;5.04;8.03;3.66;3.57;8.63;4.31;5.77;3.37;3.96;3.09;2.73;9.46;7.22;5.89;4.09;7.32;9.36;8.61;10.1;15.18;8.51;7.51;2.82;5.99;8.69;13.33;10.23;3.07;4.68;3.04;2.3;5.36;4.65;;1.91;4.05;2.46;2.85;5.42;1.94
NOx;uur;µg NO2/m³;2024-06-16T08:00:00+01:00;2024-06-16T09:00:00+01:00;2.48;1.64;1.45;4.23;2.13;4.18;10.74;3.86;3.71;10.7;4.4;5.13;3.11;2.94;2.88;2.74;9.13;6.54;4.85;4.32;6.81;9.29;8.41;12.47;19.57;6.45;6.76;2.32;4.85;12.03;13.23;14.44;3.6;3.98;3.36;2.01;5.05;3.02;;1.75;3.1;1.67;2.49;8.3;1.62
NOx;uur;µg NO2/m³;2024-06-16T09:00:00+01:00;2024-06-16T10:00:00+01:00;2.98;1.83;1.27;3.52;2.26;3.83;8.91;5.66;6.68;14.46;3.8;4.07;3.1;2.43;2.66;2.76;6.44;7.14;2.93;4.51;5.88;9.15;10.4;11.9;15.66;5.93;9.52;2.19;4.87;9.03;14.27;16.39;3;3.66;2.47;1.41;6.32;3.46;;1.58;2.78;1.29;1.68;9.82;1.82
NOx;uur;µg NO2/m³;2024-06-16T10:00:00+01:00;2024-06-16T11:00:00+01:00;2.71;2.04;1.58;5.21;2.41;5.21;8;7.65;10.63;16.76;5.21;2.44;3.42;2.46;2.91;3.22;7.23;8.96;4.09;6.91;4.72;10.59;6.77;9.54;24.57;6.37;10.3;1.79;3.11;10.51;15.62;17.41;3.1;4.26;3.07;1.66;8.02;4.27;;1.19;3.77;0.84;1.62;10.52;1.51
NOx;uur;µg NO2/m³;2024-06-16T11:00:00+01:00;2024-06-16T12:00:00+01:00;6.24;2.35;2.27;5.83;2.86;4.97;6.42;8.54;12.65;17.15;4.72;2.95;3.84;2.39;2.24;2.05;7.53;10.52;4.1;5.9;4.09;13.2;4.68;10.94;40.4;5.8;10.8;2.15;2.29;14.32;18.82;17.84;3.53;4.71;2.27;1.27;11.1;4.27;;1.13;2.23;0.97;1.69;16.79;1.42
NOx;uur;µg NO2/m³;2024-06-16T12:00:00+01:00;2024-06-16T13:00:00+01:00;2.91;1.98;2.13;9.57;2.61;4.82;6.96;9.14;14.01;21.04;3.97;4.73;3.5;3.38;3.58;2.6;6.57;10.55;2.71;5.93;4.16;13.13;4.88;11.88;37;4.24;8.34;2.18;2.38;15.29;18.7;17.04;3.75;4.85;1.75;0.88;9.31;5.05;;1.21;2.3;1.04;1.42;15.69;1.43
NOx;uur;µg NO2/m³;2024-06-16T13:00:00+01:00;2024-06-16T14:00:00+01:00;3.45;1.04;1.73;7.38;2.27;2.18;5.25;6.97;15.88;18.05;3.63;4.51;2.67;2.77;2.07;3.19;5.65;9.36;3.73;8.01;4.43;14.07;5.18;10.89;43.43;5.36;10.19;2.32;1.92;25.65;30.88;19.15;6.1;4.63;1.92;1.69;9.67;4.24;;1.51;2.44;1;1.55;17.84;1.56
NOx;uur;µg NO2/m³;2024-06-16T14:00:00+01:00;2024-06-16T15:00:00+01:00;3.13;1.62;1.28;4.19;1.88;2.76;4.49;7.97;9.6;12.86;2.77;2.94;3.05;2.66;1.55;1.86;5.21;8.77;2.31;5.82;3.75;14.36;3.57;11.82;31.82;4.4;9.44;2.49;2.91;20.17;29.25;16.09;6.23;4.19;1.64;1.28;7.91;2.53;;1.5;3.88;0.78;1.55;23.12;1.9
NOx;uur;µg NO2/m³;2024-06-16T15:00:00+01:00;2024-06-16T16:00:00+01:00;2.74;2.43;1.32;6.06;2.11;2.3;4.97;6.8;8.55;10.02;3.84;2.36;2.96;8.82;2.03;1.61;5.14;6.59;1.17;4.37;3.6;14.08;4.61;8.45;25.77;2.14;6.3;2.62;2.56;15.86;26.76;15.42;6.99;4.06;1.52;0.87;6.62;3.1;;1.81;2.94;0.33;1.93;15.03;1.88
NOx;uur;µg NO2/m³;2024-06-16T16:00:00+01:00;2024-06-16T17:00:00+01:00;3.07;2.32;2.89;9.03;2.74;3.87;5.32;9.15;7.91;12.11;4.05;1.65;2.98;3.35;4.7;1.38;6.67;5.59;1.79;3.05;3.54;19.1;6.74;8.78;25.36;4.83;13.09;2.22;2.6;10.96;15.35;15.79;2.41;3.04;1.45;1.31;7.61;3.73;;1.64;2.5;0.67;2.4;19.47;1.38
NOx;uur;µg NO2/m³;2024-06-16T17:00:00+01:00;2024-06-16T18:00:00+01:00;3.3;1.61;3.92;8.26;4.16;3.72;2.64;12.47;15.96;14.09;4.41;3.84;3.78;4.01;2.15;1.81;3.9;9.57;2.45;2.86;4.68;19.82;7.34;6.37;25.07;53.01;9.53;2.61;1.86;10.28;15.46;15.11;2.08;3.27;2.04;1.95;8.67;3.95;;1.62;3;0.66;1.85;19.13;2.07
NOx;uur;µg NO2/m³;2024-06-16T18:00:00+01:00;2024-06-16T19:00:00+01:00;4.53;1.44;2.66;8.46;3.85;5.72;5.43;10.73;11.97;18.67;5.42;7.99;3.05;3.75;2.19;2.3;6.39;7.01;2.3;4.42;5.14;19.49;9;7.38;18.99;8.18;7.27;3.18;2.74;12.44;13.67;22.7;3.87;3.59;1.97;1.7;8.66;4.58;;1.96;3.02;0.92;2.04;18.81;2.3
NOx;uur;µg NO2/m³;2024-06-16T19:00:00+01:00;2024-06-16T20:00:00+01:00;5.13;2.87;4.58;16.35;4.18;4.03;7.21;15.43;23.58;16.65;8.51;8.95;6.52;5.34;4.17;2.22;5.03;7.17;2.78;4.55;5.31;25.25;11.3;7.82;29.6;25.17;11.4;2.44;3.14;13.44;16.11;27.84;4.24;3.36;2.49;2.87;13.44;6.2;;2.15;3;1.33;2.54;22.91;3.49
NOx;uur;µg NO2/m³;2024-06-16T20:00:00+01:00;2024-06-16T21:00:00+01:00;4.35;4.67;3.02;21.14;4.92;5.93;14.98;28.16;46.87;30.15;13.31;11.59;10.24;9.75;3.25;2.84;7.97;10.74;4.47;7.61;6.91;30.35;21.16;9.89;41.14;24.78;13.55;3.13;4.24;19.5;25.43;36.23;4.88;3.4;3.09;3.64;17.78;10.76;;2.56;9.91;1.64;3.14;22.52;3.61
NOx;uur;µg NO2/m³;2024-06-16T21:00:00+01:00;2024-06-16T22:00:00+01:00;2.83;8.34;4.98;19.93;6.06;16.17;19.11;28.58;41.51;57.63;19.32;12.23;10.77;11.58;6.3;3.86;14.69;16.9;5.65;14.2;5.69;33.51;26.99;25.12;54.18;10.36;16.7;4.54;5.76;23.75;50.18;38.75;7.04;5.31;4.74;4.05;16.46;12.66;;4.22;9.43;2.51;2.56;23.33;3.82
NOx;uur;µg NO2/m³;2024-06-16T22:00:00+01:00;2024-06-16T23:00:00+01:00;3.46;5;5.47;20.91;6.73;20.3;16.48;15.08;24;56.32;27.08;11.26;7.92;11.62;6.67;7.76;22.9;21.69;6.33;10.37;4.82;27.39;23.21;48.77;48.08;11.48;21.58;4.67;7.37;22.63;46.24;39.35;6.61;5.56;5.38;5.05;14.99;11.94;;6.09;5.02;3.35;2.63;13.62;5.77
NOx;uur;µg NO2/m³;2024-06-16T23:00:00+01:00;2024-06-17T00:00:00+01:00;3.38;7.01;3.27;10.07;5.11;31.73;15.64;10.24;17.02;63.92;30.4;12.74;5.36;13.8;4;7.62;13.86;24.49;5.64;8.88;6.91;26.21;26.89;43.36;33.58;33.4;15.5;5.94;6.84;16.85;27.09;22.54;5.41;5.14;4.86;5.2;11.38;11.33;;6.45;2.47;3.56;2.97;13.18;4.27
NOx;uur;µg NO2/m³;2024-06-17T00:00:00+01:00;2024-06-17T01:00:00+01:00;4.49;6.79;2.26;4.41;4.53;41.96;9.46;9.72;15.87;36.82;16.18;21.19;7.68;12.03;5.93;18.33;19.52;11.39;;11.19;10.21;23.05;10.29;14.01;26.76;13.13;;7.12;5.91;12.33;17.13;27.4;9.65;10;7.41;7.59;13.03;10.14;;5.61;4.78;5.33;2.86;7.55;5.51
NOx;uur;µg NO2/m³;2024-06-17T01:00:00+01:00;2024-06-17T02:00:00+01:00;4.16;5.59;1.68;3.23;2.98;10.49;8.05;7.65;12.03;29.82;18.22;18.53;6.78;12.71;5.88;14.59;19.39;10.22;8.61;12.86;10.65;19.84;9.92;17.07;19.11;18.78;12.77;6.31;6.66;11.59;20.41;21.15;10.4;11.49;6.77;9.3;12.49;10.29;;5.43;4.74;4.81;3.06;6.64;5.56
NOx;uur;µg NO2/m³;2024-06-17T02:00:00+01:00;2024-06-17T03:00:00+01:00;4.13;6.86;1.86;2.84;2.59;18.25;9.9;6.39;6.31;20.61;15.89;10.87;5.8;13.68;6.11;13.37;21.31;9.36;7.21;12.54;7.85;14.57;13.9;17.37;17.01;16.52;11.97;5.56;9.69;14.42;21.54;20.86;12.17;13;5.09;12;10.67;9.87;;4.86;5.34;6.28;3.32;4.51;6.03
NOx;uur;µg NO2/m³;2024-06-17T03:00:00+01:00;2024-06-17T04:00:00+01:00;3.27;7.69;2.21;5.09;2.47;32.61;15.14;8.5;6.27;25.65;13.89;9.57;8.66;12.21;7;7.58;18.75;9.76;6.35;11.05;7.44;18.84;9.28;15.91;30.35;22.64;12.91;5.97;8.64;13.69;22.15;25.22;13.37;16.39;4.59;12.96;10.11;9.21;;5.08;5.54;7.15;3.01;6.26;6.43
NOx;uur;µg NO2/m³;2024-06-17T04:00:00+01:00;2024-06-17T05:00:00+01:00;3.56;9.42;2.31;11.48;3.71;19.18;9.26;7.3;12.89;36.63;16.39;10.82;7.88;13.19;7.44;4.03;23.41;36.72;9.53;10.63;9.89;21.49;11.27;23.95;94.08;22.42;17.22;7.69;11.53;16.92;25.42;43.39;13.1;16.07;5.71;11.14;13.17;10.28;;5.89;5.39;7.69;3.68;9.02;7.2
NOx;uur;µg NO2/m³;2024-06-17T05:00:00+01:00;2024-06-17T06:00:00+01:00;5.82;10.47;4.1;15.19;4.64;27.18;8.28;12.16;33.21;80.25;23.77;9.73;11.62;14.72;8.7;4.21;27.57;35.72;11.69;16.85;14.24;24.94;17.37;34.91;117.03;20.34;24.57;14.67;12.35;29.7;43.22;63.71;18.11;13.7;6.91;11.86;20.46;16.03;;8.89;6.38;7.6;4.46;32.34;13.16
NOx;uur;µg NO2/m³;2024-06-17T06:00:00+01:00;2024-06-17T07:00:00+01:00;7.21;11.26;8.53;29.75;7.76;15.22;13.12;23.29;46.69;95.24;25.4;10.18;16.75;17.76;10.06;5.34;27.72;51.85;11.91;13.83;20.9;35.49;18.7;31.37;98.85;19.39;27.86;16.31;12.33;35.34;46.1;52.11;18.69;16.05;9.87;12.6;33.21;15.63;;9.51;6.99;8.82;6.08;45.79;12.44
NOx;uur;µg NO2/m³;2024-06-17T07:00:00+01:00;2024-06-17T08:00:00+01:00;7.92;9.56;8.8;31.47;6.27;19.44;24.34;21.31;43.87;81.95;21.33;9.46;12.12;12.62;9.84;5.89;29.03;40.83;11.51;21.12;12.71;37.78;25.76;32.86;87.73;19.17;28.71;12.32;13.94;39.47;40.88;30.09;18.77;13.53;10;16.99;35;16.16;;9.55;8.68;8.1;5.59;43.78;10.89
NOx;uur;µg NO2/m³;2024-06-17T08:00:00+01:00;2024-06-17T09:00:00+01:00;12.38;10.44;6.96;20.39;4.37;15.19;20.22;15.26;30.84;64.25;17.86;13.83;8.2;11.79;8.24;6.53;22.66;31.35;11.03;16.18;9.66;35.1;18.32;26.94;44.86;14.52;26.22;11.85;19.49;28.46;32.09;29.54;13.27;11.65;9.79;12.95;37.55;19.85;;8.62;9.69;6.17;5.68;33.08;6.96
NOx;uur;µg NO2/m³;2024-06-17T09:00:00+01:00;2024-06-17T10:00:00+01:00;9.87;8.33;6.52;20.91;5.29;15.57;11.13;19.98;28.15;53.51;19.69;13.47;12.36;8.85;6.16;4.81;25.22;19.18;8.37;13.53;7.95;39.13;14.35;27.22;46.53;10.16;26.48;10.72;19.5;25.25;26.41;33.34;10.59;11.79;9.45;9.64;42;18.7;;8.09;13.1;5.04;4.78;26.17;5.36
NOx;uur;µg NO2/m³;2024-06-17T10:00:00+01:00;2024-06-17T11:00:00+01:00;8.2;6.11;7.7;19.88;6.51;8.83;9.47;15.04;27.53;52.81;19.45;7.87;10.43;6.03;6.37;3.02;15.61;17.77;7.12;11.58;6.22;28.59;10.95;21.44;33.76;9.23;16.72;8.27;14.12;24.89;22.14;30.64;10.86;10.99;9.9;9;;17.56;;6.66;13.39;3.34;4.58;25.36;4.11
NOx;uur;µg NO2/m³;2024-06-17T11:00:00+01:00;2024-06-17T12:00:00+01:00;6;6.54;8.27;17.61;7.6;6.52;4.31;13.55;22.17;46.78;11.91;7.12;6.49;3.98;7.85;4.56;9.13;10.35;5;7.52;6.89;31.29;10.42;16.07;32.91;6.22;19.73;6.96;11.65;18.45;23.06;31.29;8.4;7.9;7.8;4.84;;8.07;;6.78;11.62;2.73;6.28;32.02;3.52
NOx;uur;µg NO2/m³;2024-06-17T12:00:00+01:00;2024-06-17T13:00:00+01:00;5.73;3.07;4.51;20.57;7.94;5.6;4.64;9.81;18.48;31.75;8.38;12;3.82;2.49;8.05;3.65;11.44;10.03;3.85;5.62;3.93;24.83;8.92;17.08;30.67;5.22;23.19;7.04;5.97;14.71;21.74;26.51;5.8;5.36;6.27;4.12;;4.64;;4.74;8.1;2.07;6.1;19.61;3.73
NOx;uur;µg NO2/m³;2024-06-17T13:00:00+01:00;2024-06-17T14:00:00+01:00;6.19;3.02;5.59;29.99;6.11;8.28;3.62;12.02;17.8;37.34;7.09;10.4;3.44;4.05;6.43;5.73;4.32;17.74;3.57;4.54;6.26;18.47;11.35;13.35;22.3;4.8;20.15;5.58;5.1;19.1;15.92;23.65;5.13;5.19;4.43;4.83;;5.96;;8.28;2.94;2.13;5.05;24.35;4.53
NOx;uur;µg NO2/m³;2024-06-17T14:00:00+01:00;2024-06-17T15:00:00+01:00;7.53;3.32;4.37;15.39;4.11;6.91;3.6;11.38;28.67;44.35;6.58;9.23;7.89;6.87;3.02;5.77;3.62;14.1;2.55;5.97;5.56;21.64;13.29;13.33;23.81;4.23;25.98;4.31;3.16;18.02;15.06;27.94;5.74;4.5;8.3;4.16;44.01;9.08;;9.18;2.03;2.12;2.41;19.48;4.51
NOx;uur;µg NO2/m³;2024-06-17T15:00:00+01:00;2024-06-17T16:00:00+01:00;5.7;3.72;3.46;17.3;4.05;6.06;4.17;14.5;25.44;45.07;5.47;8.73;3;4.74;2;6.58;3.64;12.86;2.33;5.91;3.31;20.51;10.9;12.8;23.23;3.55;21.6;3.5;3.48;18.4;16.54;28.23;5.15;4.52;5.66;7.91;29.45;8.89;;3.5;1.03;3.26;1.55;30.22;5.46
NOx;uur;µg NO2/m³;2024-06-17T16:00:00+01:00;2024-06-17T17:00:00+01:00;5.37;4.85;2.57;19.96;3.62;6.36;3.91;17.35;32.07;29.24;5.16;6.77;4.04;3.59;1.93;5.72;6.72;11.83;1.94;4.85;2.01;21.59;8.74;11.77;27.51;8.37;16.48;3.17;3.97;18.44;15.8;23.98;4.85;4.7;7.07;4.5;33.26;7.28;;2.37;1.62;3.81;1.28;20.67;4.61
NOx;uur;µg NO2/m³;2024-06-17T17:00:00+01:00;2024-06-17T18:00:00+01:00;5.32;5.08;2.39;12.12;3.16;6.84;2.72;14.03;17.75;18.86;4.1;6.49;3.38;3.23;1;8.07;9.57;14.3;1.84;4.23;4.37;24.75;8.34;10.76;30.19;12.99;16.89;3.49;3.12;14.73;17.83;23.62;5.05;7.57;5.35;2.44;26.57;6.08;;2.86;1.49;4.1;1.26;9.48;3.22
NOx;uur;µg NO2/m³;2024-06-17T18:00:00+01:00;2024-06-17T19:00:00+01:00;5.43;5.53;2.51;13.68;3.08;9.05;3.12;14.82;15.15;12.97;4.49;7.23;3.99;7.43;3.24;15.18;8.47;15.71;2.21;5.29;2.43;21.78;13.44;8.93;26.16;4.19;13.07;4.36;3.04;12.49;16.15;25.9;4.88;8.61;3.81;4.53;25.68;7.69;;2.84;0.87;2.3;1.08;6.25;2.53
NOx;uur;µg NO2/m³;2024-06-17T19:00:00+01:00;2024-06-17T20:00:00+01:00;7.51;9.3;3;18.84;4.58;8.55;3.66;19.24;17;11.1;5.14;6.83;5.55;10.56;2.01;13.42;8.7;17.42;2.52;5.49;2.93;21.74;24.05;13.03;35.91;13.37;9.52;3.73;3.4;11.8;18.69;25.67;5.63;7.22;4;4.16;27.05;9.31;;2.82;2.32;1.77;1.79;5.72;3.92
NOx;uur;µg NO2/m³;2024-06-17T20:00:00+01:00;2024-06-17T21:00:00+01:00;10.24;15.22;3.97;45.75;9.43;8.37;3.89;16.14;45.24;14.26;5.31;9.25;8.7;20.37;3.63;14.5;19.46;13.32;3.44;6.94;7.18;28.35;20.77;26.79;50.66;3.85;21;3.71;5.71;14.92;37.84;33.01;9.5;8.39;6.15;5.44;22.04;12.88;;3.31;4.37;2.86;1.81;7.34;5.31
NOx;uur;µg NO2/m³;2024-06-17T21:00:00+01:00;2024-06-17T22:00:00+01:00;9.2;17.85;6.04;60.24;24.16;76.9;4.18;34.41;64.18;14.61;10.04;12.06;21.12;14.12;4.59;21.72;26.18;27.93;6.64;6.36;8.43;38.82;34.64;29.77;56.4;7.22;23.42;4.24;6.49;26.8;36.27;30.03;10.58;7.39;7.4;10.55;43.75;25.29;;4.74;4.13;3.97;2.03;13.12;6.82
NOx;uur;µg NO2/m³;2024-06-17T22:00:00+01:00;2024-06-17T23:00:00+01:00;9.11;13.65;5.39;45.26;19.05;44.61;5.51;34.9;37.6;65.94;18.54;8.45;23.95;16.55;4.04;35.92;27.61;11.99;11.09;9.55;7.93;41.48;62.52;41.42;54.77;11.5;25.91;5.31;7.53;23.85;69.93;33.43;13.26;6.91;5.89;11.84;85.15;28.71;;6.11;9.1;5.54;4.44;18.02;7.61
NOx;uur;µg NO2/m³;2024-06-17T23:00:00+01:00;2024-06-18T00:00:00+01:00;6.91;11.96;4.93;35.56;27.01;26.47;6.71;42.8;24.48;75.85;30.7;11.18;18.08;16.61;11.37;35.11;35.36;20.81;17.62;12.4;6.86;40.44;81.68;40.37;60.85;14.82;20.72;5.44;6.46;20.51;64.03;26.58;13.85;10.06;6.44;8.81;67.49;39.69;;6.63;4.52;5.45;3.82;19.88;7.61
NOx;uur;µg NO2/m³;2024-06-18T00:00:00+01:00;2024-06-18T01:00:00+01:00;11.14;16.84;5.23;24.95;15.63;35.26;6.25;40.4;26.32;67.64;30.87;21.16;17.62;20.12;7.77;29.43;62.79;53.67;;10.06;9.95;58.6;70.93;48.57;64.91;9.43;15.05;5.87;7.5;33.85;47.2;67.67;27.52;8.95;8.05;6.06;23.64;19.49;;8.67;3.64;5.11;6.19;9.28;8.36
NOx;uur;µg NO2/m³;2024-06-18T01:00:00+01:00;2024-06-18T02:00:00+01:00;10.64;30.13;5.29;22.01;13.59;53.17;5.68;23.84;31.57;46.63;21.11;12.67;23.12;23.76;10.21;38.24;80.58;57.68;16.25;11.48;8.45;76.12;66.73;54.63;70.26;11.34;17.52;6.11;7.25;27.15;45.61;66.6;24.17;7.73;9.63;5.85;24.61;12.92;;8.34;3.94;5.01;4.64;9.31;7.54
NOx;uur;µg NO2/m³;2024-06-18T02:00:00+01:00;2024-06-18T03:00:00+01:00;10.8;26.18;4.12;16.15;10.19;46.4;5.96;21.71;33.08;49.75;12.34;12.95;20.08;18.72;20.67;32.43;64.92;51.97;17.97;20.66;8.48;54.41;48.05;60.45;69.66;11.36;12.65;5.57;6.5;24.01;41.53;21.42;21.41;6.92;8.47;7.31;18.49;12.05;;8.29;4.03;5.41;4.98;8.43;6.4
NOx;uur;µg NO2/m³;2024-06-18T03:00:00+01:00;2024-06-18T04:00:00+01:00;12.02;22.15;3.76;19.04;8.78;34.95;7.35;23.31;21.58;43.49;15.77;13.81;17.66;15.84;19.46;22.15;54.05;36.02;24.08;17.49;8.6;52.09;40.22;52.2;62.68;16.77;16.49;8.37;7.18;20.94;31.05;31;20.22;8.12;7.36;7.22;21.44;12.1;;9.44;4.2;5.25;4.81;10.02;7.32
